,Unnamed: 0,Destination Name,State,Category,Popular Attraction,Accessibility,Nearest Airport,Nearest Railway Station,Description,Activities,Budget,Best_Time
341,341,Tura,Meghalaya,Nature,Nokrek National Park,Air/Road,Tura Airport,Guwahati Railway Station,"Tura is a small village in the district of Nokrek, Meghalaya.","sightseeing, photography, relaxation",low,October to March
342,342,Balpakram,Meghalaya,Nature,Balpakram National Park,Road,Shillong Airport,Guwahati Railway Station,Balpakram is a popular tourist destination in Meghalaya.,"sightseeing, photography, relaxation",low,October to March
343,343,Nongstoin,Meghalaya,Nature,Nongkhnum Island,Road,Shillong Airport,Guwahati Railway Station,The Nongstoin is a small island in the Meghalayan state of Meghalaya. It is located on the island of Nongkhnum.,"sightseeing, photography, relaxation",low,October to March
344,344,Smit,Meghalaya,Heritage,Nongkrem Dance Festival Site,Road,Shillong Airport,Guwahati Railway Station,Smit is a town in Meghalaya known for the Nongkrem Dance Festival Site.,"monument visits, cultural tours",low,October to March
345,345,Sohra,Meghalaya,Nature,Double Decker Root Bridge,Road,Shillong Airport,Guwahati Railway Station,The Double Decker Root Bridge is a bridge in Meghalaya.,"sightseeing, photography, relaxation",low,October to March
346,346,Phe Phe Falls,Meghalaya,Nature,Jaintia Hills Waterfall,Road,Shillong Airport,Guwahati Railway Station,The Jaintia Hills Waterfall is a waterfall in the Himalayan state of Meghalaya.,"sightseeing, photography, relaxation",low,October to March
347,347,Nongkrem,Meghalaya,Heritage,Nongkrem Tribal Festival,Road,Shillong Airport,Guwahati Railway Station,The Nongkrem Tribal Festival is a cultural festival in Meghalaya.,"monument visits, cultural tours",low,October to March
348,348,Wokha,Nagaland,Nature,Doyang Reservoir,Road,Dimapur Airport,Dimapur Railway Station,The Doyang Reservoir is a reservoir in the north of Nagaland.,"sightseeing, photography, relaxation",low,October to March
349,349,Mokokchung,Nagaland,Heritage,Ungma Village,Road,Dimapur Airport,Dimapur Railway Station,Mokokchung is a village in the Central District of Nagaland. It is located on the border with the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District,"monument visits, cultural tours",low,October to March
350,350,Tuensang,Nagaland,Heritage,Chingmei Village,Road,Dimapur Airport,Dimapur Railway Station,Tuensang is a village in the Central District of Nagaland.,"monument visits, cultural tours",low,October to March
351,351,Mon,Nagaland,Heritage,Longwa Village,Road,Dimapur Airport,Dimapur Railway Station,The Mon is a village in the Nagaland state of Nagaland. It is located in the north of the city. The village is a popular tourist destination.,"monument visits, cultural tours",low,October to March
352,352,Phek,Nagaland,Nature,Shilloi Lake,Road,Dimapur Airport,Dimapur Railway Station,Phek is a small town in the Shilloi Lake District in Nagaland.,"sightseeing, photography, relaxation",low,October to March
353,353,Peren,Nagaland,Nature,Bhandari Falls,Road,Dimapur Airport,Dimapur Railway Station,The Bhandari Falls is a waterfall in the Nagaland state of Nagaland.,"sightseeing, photography, relaxation",low,October to March
354,354,Senapati,Manipur,Nature,Mount Iso Trek,Road,Bir Tikendrajit International Airport,Jiribam Railway Station,"The Senapati is a mountain in Manipur, India. It is located in the north of the city. The Senapati is a popular tourist destination.","sightseeing, photography, relaxation",low,October to March
355,355,Churachandpur,Manipur,Nature,Rengkai Falls,Road,Bir Tikendrajit International Airport,Jiribam Railway Station,The Rengkai Falls are a waterfall in Manipur.,"sightseeing, photography, relaxation",low,October to March
356,356,Ukhrul,Manipur,Mountains,Shirui Peak,Road,Bir Tikendrajit International Airport,Jiribam Railway Station,"Ukhrul is a mountain in Manipur, India. It is located on the border with Bhutan. The peak is a ridge of the Shirui Range.","trekking, hiking, camping, snow activities",low,March to June
357,357,Tamenglong,Manipur,Nature,Zeilad Lake,Road,Bir Tikendrajit International Airport,Jiribam Railway Station,"Tamenglong is a small town in Manipur, India. It is located on the banks of the river Seilad. The town is a popular tourist destination.","sightseeing, photography, relaxation",low,October to March
358,358,Chandel,Manipur,Heritage,Tengnoupal Fort,Road,Bir Tikendrajit International Airport,Jiribam Railway Station,"Chandel is a city in Manipur, India. It is located on the banks of the Tengnoupal River. The city is famous for its temples and monuments.","monument visits, cultural tours",low,October to March
359,359,Champhai,Mizoram,Nature,Rih Dil Lake,Road,Lengpui Airport,Bairabi Railway Station,"Champhai is a village in Mizoram, India. It is located on the banks of the Rih Dil Lake.","sightseeing, photography, relaxation",low,October to March
360,360,Lunglei,Mizoram,Nature,Lunglei Town Viewpoint,Road,Lengpui Airport,Bairabi Railway Station,"Lunglei is a town in Mizoram, India. It is located on the banks of the River Ganges. The town is famous for its Lunglei Town Viewpoint.","sightseeing, photography, relaxation",low,October to March
361,361,Serchhip,Mizoram,Nature,Serchhip Town,Road,Lengpui Airport,Bairabi Railway Station,Serchhip is a town in Mizoram.,"sightseeing, photography, relaxation",low,October to March
362,362,Kolasib,Mizoram,Nature,Bairabi Reservoir,Rail/Road,Lengpui Airport,Bairabi Railway Station,"Kolasib is a village in Mizoram, India. It is located on the banks of the Bairabi Reservoir.","sightseeing, photography, relaxation",low,October to March
363,363,Khawzawl,Mizoram,Nature,Vantawng Falls,Road,Lengpui Airport,Bairabi Railway Station,"Khawzawl is a village in Mizoram, India. It is located on the banks of the Vantawng River.","sightseeing, photography, relaxation",low,October to March
364,364,Gomati,Tripura,Heritage,Trishna Wildlife Sanctuary,Road,Maharaja Bir Bikram Airport,Kumarghat Railway Station,"Gomati is a village in Tripura, India. It is a popular tourist destination for tourists. The village is surrounded by forests and is a popular tourist destination.","monument visits, cultural tours",low,October to March
365,365,Udaipur Tripura,Tripura,Heritage,Tripura Sundari Temple,Rail/Road,Maharaja Bir Bikram Airport,Udaipur Railway Station,"Udaipur Tripura is a temple in Tripura, India. It is located in the Udaipur district. The temple is located in the Udaipur district.","monument visits, cultural tours",low,October to March
366,366,Sabroom,Tripura,Heritage,Manu River Bank,Road,Maharaja Bir Bikram Airport,Sabroom Railway Station,"Sabroom is a village in Tripura, India. It is located on the Manu River.","monument visits, cultural tours",low,October to March
367,367,Khowai,Tripura,Nature,Chabimura Rock Sculptures,Rail/Road,Maharaja Bir Bikram Airport,Khowai Railway Station,Khowai is a popular tourist destination in Tripura. It is also known for its Chabimura Rock Sculptures.,"sightseeing, photography, relaxation",low,October to March
368,368,Dharmanagar,Tripura,Religious,Chandrapur Temple,Rail/Road,Maharaja Bir Bikram Airport,Dharmanagar Railway Station,"Dharmanagar is a village in Tripura, India. It is located on the banks of the Chandrapur river. The village is famous for its temples and is also known for its sandstone cliffs.","temple visits, spiritual activities",low,All year
369,369,Along,Arunachal Pradesh,Adventure,Yamne River Rafting,Air/Road,Along Airport,Murkongselek Railway Station,Along is a river river in Arunachal Pradesh. It is a popular place for river rafting.,"rafting, trekking, camping, skiing",low,March to June
370,370,Tezu,Arunachal Pradesh,Nature,Lohit River,Air/Road,Tezu Airport,Tinsukia Junction,The Lohit River is a river in Arunachal Pradesh.,"sightseeing, photography, relaxation",low,October to March
371,371,Roing,Arunachal Pradesh,Nature,Mehao Wildlife Sanctuary,Air/Road,Roing Airport,Tinsukia Junction,Roing is a place in Arunachal Pradesh where you can see Mehao Wildlife Sanctuary.,"sightseeing, photography, relaxation",low,October to March
372,372,Namsai,Arunachal Pradesh,Religious,Golden Pagoda Namsai,Road,Dibrugarh Airport,Tinsukia Junction,"Namsai is a village in Arunachal Pradesh, India. It is located on the banks of the Ganges River. Namsai is a popular tourist destination.","temple visits, spiritual activities",low,All year
373,373,Longding,Arunachal Pradesh,Heritage,Wancho Tribal Village,Road,Dibrugarh Airport,Tinsukia Junction,"Longding is a village in Arunachal Pradesh, India. It is located in the Wancho Tribal Village.","monument visits, cultural tours",low,October to March
374,374,Tawang,Arunachal Pradesh,Religious,Tawang War Memorial,Air/Road,Tawang Helipad,Rangapara North,Tawang is a town in Arunachal Pradesh. It is the capital of the state of Arunachal Pradesh. The Tawang War Memorial is a monument to the soldiers of the Arunachal Pradesh army.,"temple visits, spiritual activities",low,All year
375,375,Khonsa,Arunachal Pradesh,Nature,Namdapha National Park,Road,Dibrugarh Airport,Tinsukia Junction,The Namdapha National Park is a national park in Arunachal Pradesh.,"sightseeing, photography, relaxation",low,October to March
376,376,Seijosa,Arunachal Pradesh,Nature,Pakke Wildlife Sanctuary,Road,Tezpur Airport,Balipara Railway Station,The Pakke Wildlife Sanctuary is a wildlife sanctuary in Arunachal Pradesh.,"sightseeing, photography, relaxation",low,October to March
377,377,Namchi South Sikkim,Sikkim,Religious,Char Dham Statue Complex,Road,Bagdogra Airport,New Jalpaiguri,"Namchi South Sikkim is a city in Sikkim, India. It is located in the Namchi South Sikkim region. The Namchi South Sikkim is a city in the Namchi South Sikkim region.","temple visits, spiritual activities",low,All year
378,378,Ravangla,Sikkim,Mountains,Tendong Hill,Road,Bagdogra Airport,New Jalpaiguri,The Tendong Hill is a mountain in Sikkim.,"trekking, hiking, camping, snow activities",low,March to June
379,379,Mangan,Sikkim,Nature,Kabi Lungchuk Sacred Grove,Road,Bagdogra Airport,New Jalpaiguri,"Mangan is a village in the district of Sikkim, in the north of the country. It is located on the banks of the Ganges River. The village is a popular tourist destination.","sightseeing, photography, relaxation",low,October to March
380,380,Gyalshing,Sikkim,Heritage,Tashiding Monastery,Road,Bagdogra Airport,New Jalpaiguri,Gyalshing is a village in the Tashiding Monastery District of Sikkim.,"monument visits, cultural tours",low,October to March
381,381,Singtam,Sikkim,Nature,Teesta River,Road,Bagdogra Airport,New Jalpaiguri,"Singtam is a village in the district of Singtam, Sikkim, India. It is located on the banks of the Teesta River.","sightseeing, photography, relaxation",low,October to March
382,382,Jorethang,Sikkim,Heritage,Tendong Hill Trek,Road,Bagdogra Airport,New Jalpaiguri,The Tendong Hill Trek is a mountain climbing expedition in Sikkim. It is a mountain climbing expedition in the Himalayas.,"monument visits, cultural tours",low,October to March
383,383,Khecheopalri Lake,Sikkim,Religious,Wishing Lake,Road,Bagdogra Airport,New Jalpaiguri,"Khecheopalri Lake is a lake in Sikkim, India. It is located in the north of the country and is the largest lake in the world.","temple visits, spiritual activities",low,All year
384,384,Naya Bazar,Sikkim,Nature,Dentam Valley,Road,Bagdogra Airport,New Jalpaiguri,Naya Bazar is a village in the Dentam Valley in Sikkim.,"sightseeing, photography, relaxation",low,October to March
385,385,Tsomgo Lake,Sikkim,Nature,Changu Lake,Road,Bagdogra Airport,New Jalpaiguri,"Tsomgo Lake is a lake in Sikkim, located in the north of the country. It is the largest lake in the world.","sightseeing, photography, relaxation",low,October to March
386,386,Nathu La Pass,Sikkim,Adventure,India-China Border,Road,Bagdogra Airport,New Jalpaiguri,The Nathu La Pass is a gorge in the Himalayan region of Sikkim. It is located on the border between India and China.,"rafting, trekking, camping, skiing",low,March to June
387,387,Thangu Valley,Sikkim,Adventure,Gurudongmar Lake,Road,Bagdogra Airport,New Jalpaiguri,"The Thangu Valley is a valley in Sikkim, located in the north of the country. The valley is home to the Gurudongmar Lake.","rafting, trekking, camping, skiing",low,March to June
388,388,Hanumangarh,Rajasthan,Religious,Gogamedi Temple,Rail/Road,Nal Airport,Hanumangarh Junction,The Gogamedi Temple is a temple in the district of Hanumangarh in Rajasthan.,"temple visits, spiritual activities",medium,All year
389,389,Dungarpur,Rajasthan,Heritage,Juna Mahal,Road,Maharana Pratap Airport,Dungarpur Railway Station,The Juna Mahal is a temple in the Rajasthan state of Rajasthan. It is located in the northern part of the state.,"monument visits, cultural tours",medium,October to March
390,390,Banswara,Rajasthan,Nature,Mahi River,Road,Maharana Pratap Airport,Ratlam Junction,The Mahi River is a river in Rajasthan.,"sightseeing, photography, relaxation",medium,October to March
391,391,Tonk,Rajasthan,Heritage,Sunehri Kothi,Road,Jaipur International Airport,Tonk Railway Station,The Tonk is a small village in the Rajasthan state of Rajasthan. It is located on the banks of the River Jaipur. The village is famous for its Sunehri Kothi.,"monument visits, cultural tours",medium,October to March
392,392,Dausa,Rajasthan,Religious,Mehandipur Balaji Temple,Road,Jaipur International Airport,Bandikui Railway Station,The Mehandipur Balaji Temple is a temple in the Rajasthan state of Rajasthan.,"temple visits, spiritual activities",medium,All year
393,393,Jhunjhunu,Rajasthan,Heritage,Sethani ka Johara,Road,Jaipur International Airport,Jhunjhunu Railway Station,Jhunjhunu is a village in the Jhunjhunu district of Rajasthan. It is located on the banks of the Jhunjhunu river. The village is famous for its Sethani ka Johara.,"monument visits, cultural tours",medium,October to March
394,394,Sirohi,Rajasthan,Heritage,Sheeshmahal,Road,Maharana Pratap Airport,Abu Road Railway Station,The Sheeshmahal is a traditional Rajasthani food dish. It is served in the Sirohi area of the city.,"monument visits, cultural tours",medium,October to March
395,395,Pali,Rajasthan,Heritage,Ranakpur Jain Temples,Road,Jodhpur Airport,Pali Marwar Railway Station,Pali is a popular tourist destination in Rajasthan. It is located in the heart of the Ranakpur district and is a popular tourist destination.,"monument visits, cultural tours",medium,October to March
396,396,Jhalawar,Rajasthan,Heritage,Gagron Fort,Road,Kota Airport,Jhalawar City Railway Station,"Jhalawar is a city in Rajasthan, India. It is located in the north of the city, near Gagron Fort.","monument visits, cultural tours",medium,October to March
397,397,Pratapgarh,Rajasthan,Heritage,Pratapgarh Fort,Road,Maharana Pratap Airport,Chittorgarh Junction,Pratapgarh Fort is a fort in Rajasthan.,"monument visits, cultural tours",medium,October to March
398,398,Maheshwar,Madhya Pradesh,Heritage,Maheshwar Ghats,Road,Devi Ahilya Bai Holkar Airport,Barwaha Railway Station,Maheshwar is a city in Madhya Pradesh state. It is located on the banks of the Ganges River. The city is famous for its ghats.,"monument visits, cultural tours",low,October to March
399,399,Mandu,Madhya Pradesh,Heritage,Jahaz Mahal,Road,Devi Ahilya Bai Holkar Airport,Mhow Railway Station,Mandu is a city in Madhya Pradesh state. It is located on the banks of the Jahaz River. The Jahaz Mahal is a temple in the city.,"monument visits, cultural tours",low,October to March
400,400,Omkareshwar,Madhya Pradesh,Religious,Omkareshwar Jyotirlinga,Road,Devi Ahilya Bai Holkar Airport,Omkareshwar Road,Omkareshwar is a village in Madhya Pradesh state. It is located on the banks of the Ganges River. The village is famous for its Jyotirlinga.,"temple visits, spiritual activities",low,All year
401,401,Jabalpur,Madhya Pradesh,Nature,Dhuandhar Falls,Air/Rail/Road,Jabalpur Airport,Jabalpur Junction,Jabalpur is a city in Madhya Pradesh state. It is located on the banks of the Dhuandhar River. The Dhuandhar falls are a major tourist attraction in Madhya Pradesh.,"sightseeing, photography, relaxation",low,October to March
402,402,Pench National Park,Madhya Pradesh,Nature,Tiger Safari,Road,Dr. Babasaheb Ambedkar International Airport,Seoni Railway Station,The Pench National Park is a national park in Madhya Pradesh. It is located in the heart of the state and is a popular tourist destination. The park is a popular tourist destination for tourists.,"sightseeing, photography, relaxation",low,October to March
403,403,Satna,Madhya Pradesh,Heritage,Chitrakoot Waterfalls Area,Rail/Road,Khajuraho Airport,Satna Railway Station,"Satna is a village in the district of Madhya Pradesh, India. It is located on the banks of the Chitrakoot River. The village is a popular tourist destination.","monument visits, cultural tours",low,October to March
404,404,Rewa,Madhya Pradesh,Nature,Bahuti Falls,Rail/Road,Rewa Airport,Rewa Railway Station,"Rewa is a village in the district of Rewa, Madhya Pradesh, India. It is located on the banks of the Bahuti River.","sightseeing, photography, relaxation",low,October to March
405,405,Mandla,Madhya Pradesh,Nature,Kanha National Park Buffer,Road,Jabalpur Airport,Mandla Fort Railway Station,Mandla is a city in Madhya Pradesh state. It is located on the banks of the Ganges River. The city is famous for its sandstone cliffs and the sandstone cliffs.,"sightseeing, photography, relaxation",low,October to March
406,406,Tikamgarh,Madhya Pradesh,Heritage,Garh Kundar Fort,Road,Gwalior Airport,Tikamgarh Railway Station,Tikamgarh is a city in Madhya Pradesh state. It is the location of the Garh Kundar Fort.,"monument visits, cultural tours",low,October to March
407,407,Chhatarpur,Madhya Pradesh,Heritage,Khajuraho Temples Buffer Zone,Road,Khajuraho Airport,Khajuraho Railway Station,The Khajuraho Temple Buffer Zone is a UNESCO World Heritage Site in Madhya Pradesh.,"monument visits, cultural tours",low,October to March
408,408,Datia,Madhya Pradesh,Heritage,Datia Palace,Road,Gwalior Airport,Datia Railway Station,Datia Palace is a palace in the city of Datia in Madhya Pradesh.,"monument visits, cultural tours",low,October to March
409,409,Dhar,Madhya Pradesh,Heritage,Dhar Fort,Road,Devi Ahilya Bai Holkar Airport,Dhar Railway Station,Dhar Fort is a fort in Madhya Pradesh.,"monument visits, cultural tours",low,October to March
410,410,Vidisha,Madhya Pradesh,Heritage,Udayagiri Caves,Rail/Road,Raja Bhoj Airport,Vidisha Railway Station,Vidisha is a village in Madhya Pradesh state. It is located on the banks of the Udayagiri River. The village is located on the banks of the Udayagiri River.,"monument visits, cultural tours",low,October to March
411,411,Sagar,Madhya Pradesh,Heritage,Sagar Lake,Rail/Road,Raja Bhoj Airport,Sagar Railway Station,Sagar is a village in the Sagar district of Madhya Pradesh. Sagar Lake is a lake in the Sagar district of Madhya Pradesh.,"monument visits, cultural tours",low,October to March
412,412,Shivpuri,Madhya Pradesh,Nature,Madhav National Park,Rail/Road,Gwalior Airport,Shivpuri Railway Station,Shivpuri is a village in Madhya Pradesh state. It is located on the banks of the Madhav National Park.,"sightseeing, photography, relaxation",low,October to March
413,413,Damoh,Madhya Pradesh,Nature,Raneh Falls,Road,Jabalpur Airport,Damoh Railway Station,"Damoh is a village in Madhya Pradesh state, India. It is located on the banks of the Raneh River.","sightseeing, photography, relaxation",low,October to March
414,414,Hoshangabad,Madhya Pradesh,Nature,Pachmarhi Gateway,Rail/Road,Raja Bhoj Airport,Hoshangabad Railway Station,Hoshangabad is a city in Madhya Pradesh state. It is located on the banks of the Ganges River. The city is famous for its Pachmarhi Gateway.,"sightseeing, photography, relaxation",low,October to March
415,415,Cuttack,Odisha,Heritage,Barabati Fort,Rail/Road,Biju Patnaik International Airport,Cuttack Railway Station,"Cuttack is a city in Odisha, India. It is the capital of the state of Odisha. Cuttack is the capital of the state of Odisha.","monument visits, cultural tours",low,October to March
416,416,Rourkela,Odisha,Heritage,Vedvyas Temple,Air/Rail/Road,Rourkela Airport,Rourkela Railway Station,Rourkela is a village in the district of Odisha. It is located on the banks of the Vedvyas River.,"monument visits, cultural tours",low,October to March
417,417,Sambalpur,Odisha,Heritage,Samaleswari Temple,Air/Rail/Road,Veer Surendra Sai Airport,Sambalpur Road,Sambalpur is a city in Odisha. It is the capital of Odisha. The Samaleswari Temple is a temple in the city.,"monument visits, cultural tours",low,October to March
418,418,Berhampur,Odisha,Heritage,Tara Tarini Temple,Rail/Road,Berhampur Airport,Berhampur Railway Station,The Tara Tarini Temple is a temple in the city of Berhampur in Odisha.,"monument visits, cultural tours",low,October to March
419,419,Rayagada,Odisha,Nature,Chatikona Tribal Market,Rail/Road,Biju Patnaik International Airport,Rayagada Railway Station,The Chatikona Tribal Market is a market in Odisha.,"sightseeing, photography, relaxation",low,October to March
420,420,Keonjhar,Odisha,Nature,Barehipani Falls,Road,Biju Patnaik International Airport,Keonjhar Railway Station,The Barehipani Falls is a waterfall in Odisha.,"sightseeing, photography, relaxation",low,October to March
421,421,Koraput,Odisha,Nature,Deomali Peak,Rail/Road,Koraput Airport,Koraput Railway Station,The Deomali Peak is a mountain peak in the Indian state of Odisha. It is located in the north of the city of Koraput.,"sightseeing, photography, relaxation",low,October to March
422,422,Baripada,Odisha,Nature,Simlipal National Park,Road,Biju Patnaik International Airport,Baripada Railway Station,The Simlipal National Park is a national park in Odisha.,"sightseeing, photography, relaxation",low,October to March
423,423,Kendrapara,Odisha,Nature,Bhitarkanika Mangroves,Road,Biju Patnaik International Airport,Kendrapara Road,The Bhitarkanika Mangroves are a pristine natural habitat for migratory birds and fish.,"sightseeing, photography, relaxation",low,October to March
424,424,Jeypore,Odisha,Heritage,Jeypore Fort,Rail/Road,Koraput Airport,Jeypore Railway Station,Jeypore Fort is a fort in Odisha.,"monument visits, cultural tours",low,October to March
425,425,Bhawanipatna,Odisha,Nature,Phurlijharan Waterfall,Road,Biju Patnaik International Airport,Bhawanipatna Railway Station,"Bhawanipatna is a village in the district of Bhawanipatna, Odisha. It is located on the banks of the Phurlijharan River. The village is famous for its Phurlijharan Waterfall.","sightseeing, photography, relaxation",low,October to March
426,426,Hazaribagh,Jharkhand,Nature,Hazaribagh National Park,Road,Birsa Munda Airport,Hazaribagh Road,Hazaribagh is a village in the Jharkhand state of Jharkhand. It is located on the banks of the River Ganges.,"sightseeing, photography, relaxation",low,October to March
427,427,Dhanbad,Jharkhand,Heritage,Topchanchi Lake,Rail/Road,Birsa Munda Airport,Dhanbad Junction,"Dhanbad is a city in Jharkhand, India. It is the capital of Jharkhand state. The city is the location of the Topchanchi Lake.","monument visits, cultural tours",low,October to March
428,428,Bokaro,Jharkhand,Heritage,Bokaro Steel City,Rail/Road,Birsa Munda Airport,Bokaro Steel City,Bokaro Steel City is a steel city in Jharkhand.,"monument visits, cultural tours",low,October to March
429,429,Giridih,Jharkhand,Nature,Parasnath Hills,Road,Birsa Munda Airport,Giridih Railway Station,The Parasnath Hills are a popular tourist destination in Jharkhand.,"sightseeing, photography, relaxation",low,October to March
430,430,Dumka,Jharkhand,Religious,Basuki Nath Temple,Road,Deoghar Airport,Dumka Railway Station,The Dumka is a popular tourist destination in Jharkhand. It is located in the heart of the city and is a popular tourist spot. The Dumka is also known for its famous Basuki Nath Temple.,"temple visits, spiritual activities",low,All year
431,431,Chaibasa,Jharkhand,Heritage,Saranda Forest,Rail/Road,Sonari Airport,Chaibasa Railway Station,Chaibasa is a village in the Saranda Forest in Jharkhand.,"monument visits, cultural tours",low,October to March
432,432,Palamu,Jharkhand,Nature,Palamu Tiger Reserve,Road,Birsa Munda Airport,Daltonganj Railway Station,"Palamu is a village in Jharkhand, India. It is located on the banks of the Palamu River. The village is a popular tourist destination.","sightseeing, photography, relaxation",low,October to March
433,433,Simdega,Jharkhand,Nature,Kerabari Waterfall,Road,Birsa Munda Airport,Rajkharsawan Railway Station,The Kerabari Waterfall is a waterfall in Jharkhand.,"sightseeing, photography, relaxation",low,October to March
434,434,Lohardaga,Jharkhand,Nature,Sun Temple Lohardaga,Road,Birsa Munda Airport,Lohardaga Railway Station,Lohardaga is a temple in Jharkhand known for its Sun Temple Lohardaga.,"sightseeing, photography, relaxation",low,October to March
435,435,Gumla,Jharkhand,Heritage,Nagpuri Temple,Road,Birsa Munda Airport,Ranchi Railway Station,Nagpuri Temple is a temple in Jharkhand.,"monument visits, cultural tours",low,October to March
436,436,Muzaffarpur,Bihar,Heritage,Jubba Sahni Park,Air/Rail/Road,Muzaffarpur Airport,Muzaffarpur Junction,The Jubba Sahni Park is a park in the city of Muzaffarpur.,"monument visits, cultural tours",low,October to March
437,437,Bhagalpur,Bihar,Nature,Vikramshila Dolphin Sanctuary,Rail/Road,Bhagalpur Airport,Bhagalpur Railway Station,Bhagalpur is a city in Bihar state. It is the home of the Vikramshila Dolphin Sanctuary.,"sightseeing, photography, relaxation",low,October to March
438,438,Gaya,Bihar,Religious,Vishnupad Temple,Air/Rail/Road,Gaya Airport,Gaya Junction,"Gaya is a village in the district of Bihar, India. It is located on the banks of the Ganges. The Vishnupad Temple is a temple in the district.","temple visits, spiritual activities",low,All year
439,439,Munger,Bihar,Heritage,Munger Fort,Rail/Road,Bhagalpur Airport,Munger Railway Station,Munger Fort is a fort in Bihar.,"monument visits, cultural tours",low,October to March
440,440,Darbhanga,Bihar,Heritage,Darbhanga Raj Palace,Air/Rail/Road,Darbhanga Airport,Darbhanga Junction,"Darbhanga is a city in Bihar, India. It is the capital of the state of Bihar. The Darbhanga Raj Palace is a major tourist attraction.","monument visits, cultural tours",low,October to March
441,441,Motihari,Bihar,Heritage,George Orwell Birthplace,Road,Jay Prakash Narayan Airport,Motihari Railway Station,Motihari is a village in the Bihar state of Haryana. It is located on the banks of the Ganges River. The village is the birthplace of George Orwell.,"monument visits, cultural tours",low,October to March
442,442,Sitamarhi,Bihar,Religious,Janaki Temple,Road,Darbhanga Airport,Sitamarhi Railway Station,Sitamarhi is a village in the Bihar state of Haryana. It is located on the banks of the Ganges. The Janaki Temple is a temple in the village.,"temple visits, spiritual activities",low,All year
443,443,Sasaram,Bihar,Heritage,Sher Shah Suri Tomb,Rail/Road,Varanasi Airport,Sasaram Railway Station,Sasaram is a village in the Bihar state of Uttar Pradesh. It is the location of the Sher Shah Suri Tomb.,"monument visits, cultural tours",low,October to March
444,444,Supaul,Bihar,Nature,Kosi River Embankment,Road,Darbhanga Airport,Supaul Railway Station,Supaul is a village in the Bihar state of Haryana. It is located on the Kosi River.,"sightseeing, photography, relaxation",low,October to March
445,445,Araria,Bihar,Nature,Kosi Riverine Area,Road,Biratnagar Airport Nepal,Araria Court Railway Station,Araria is a village in the Kosi Riverine Area of Bihar.,"sightseeing, photography, relaxation",low,October to March
446,446,Ambikapur,Chhattisgarh,Nature,Surguja Forest,Air/Road,Ambikapur Airport,Ambikapur Railway Station,Ambikapur is a village in Chhattisgarh state. It is located on the banks of the Surguja River.,"sightseeing, photography, relaxation",low,October to March
447,447,Bilaspur Chhattisgarh,Chhattisgarh,Heritage,Ratanpur Temple,Air/Rail/Road,Bilaspur Airport,Bilaspur Junction,The Ratanpur Temple is located in the city of Bilaspur.,"monument visits, cultural tours",low,October to March
448,448,Korba,Chhattisgarh,Heritage,Korba Power Plant,Rail/Road,Bilaspur Airport,Korba Railway Station,"Korba is a village in Chhattisgarh, India. It is located on the banks of the River Chhattisgarh. The village is a popular tourist destination.","monument visits, cultural tours",low,October to March
449,449,Rajnandgaon,Chhattisgarh,Religious,Rajrajeshwari Temple,Rail/Road,Swami Vivekananda Airport,Rajnandgaon Railway Station,"Rajnandgaon is a village in Chhattisgarh, India. It is located in the district of Rajnandgaon. Rajnandgaon is a popular tourist destination.","temple visits, spiritual activities",low,All year
450,450,Durg,Chhattisgarh,Heritage,Maitri Bagh Zoo,Rail/Road,Swami Vivekananda Airport,Durg Railway Station,"Durg is a village in Chhattisgarh, India. It is located on the banks of the Maitri River. The village is famous for its zoo.","monument visits, cultural tours",low,October to March
451,451,Kondagaon,Chhattisgarh,Heritage,Kondagaon Dhokra Art,Road,Jagdalpur Airport,Jagdalpur Railway Station,"Kondagaon is a village in Chhattisgarh, India. It is a popular tourist destination for its dhokra art.","monument visits, cultural tours",low,October to March
452,452,Kanker,Chhattisgarh,Nature,Kanker Palace,Road,Swami Vivekananda Airport,Kanker Railway Station,"Kanker is a city in Chhattisgarh, India. It is the capital of Chhattisgarh state. It is the capital of the state of Chhattisgarh. The city is the home of the Kanker Palace.","sightseeing, photography, relaxation",low,October to March
453,453,Dantewada,Chhattisgarh,Religious,Danteshwari Temple,Road,Jagdalpur Airport,Kirandul Railway Station,Danteshwari Temple is a temple in Chhattisgarh.,"temple visits, spiritual activities",low,All year
454,454,Sukma,Chhattisgarh,Nature,Chitrakoot Buffer Region,Road,Jagdalpur Airport,Jagdalpur Railway Station,The city of Sukma is located in the Chhattisgarh state. The city is known for its Chitrakoot Buffer region.,"sightseeing, photography, relaxation",low,October to March
455,455,Nalgonda,Telangana,Heritage,Nagarjunasagar Left Canal,Road,Rajiv Gandhi International Airport,Nalgonda Railway Station,Nalgonda is a city in Telangana. It is the location of Nagarjunasagar Left Canal.,"monument visits, cultural tours",low,October to March
456,456,Karimnagar,Telangana,Heritage,Ujwala Park,Rail/Road,Rajiv Gandhi International Airport,Karimnagar Railway Station,"Karimnagar is a city in Telangana, India. It is the capital city of Karimnagar district. Karimnagar is the capital city of Telangana.","monument visits, cultural tours",low,October to March
457,457,Khammam,Telangana,Heritage,Khammam Fort,Rail/Road,Rajiv Gandhi International Airport,Khammam Railway Station,Khammam Fort is a fort in Telangana.,"monument visits, cultural tours",low,October to March
